ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1769575	ILMN_1769575	0.00332678666315159	6.12884786669326e-06	0.937612646157087	9.78993180120171	12.3980608954676	4.62832851746295	328927054	JAM3	junctional adhesion molecule 3
ILMN_2133996	ILMN_2133996	0.00332678666315159	6.17135631237741e-06	0.780520158105181	7.04901553132672	12.3850507826458	4.62220305436823	294979179	SHE	Src homology 2 domain containing E
ILMN_2139125	ILMN_2139125	0.00336268642120528	6.35760325545363e-06	1.87149301340993	8.01158310110347	12.3292287720183	4.59582255023934	194733750	LRFN5	leucine rich repeat and fibronectin type III domain containing 5
ILMN_2380243	ILMN_2380243	0.00336268642120528	6.56016108374412e-06	0.802461347966164	7.60065962143662	12.2705968442273	4.56794159569491	76496484	SMAGP	small cell adhesion glycoprotein
ILMN_1792978	ILMN_1792978	0.00336268642120528	6.67461886534397e-06	0.93612961487598	7.15073206804822	12.2383718247923	4.55254199918499	169791020	HAS2	hyaluronan synthase 2
ILMN_1794534	ILMN_1794534	0.00336268642120528	6.77570666333822e-06	1.22144760336553	7.11778692280087	12.2104307616112	4.5391458492866	226528771	CCDC81	coiled-coil domain containing 81
ILMN_1656287	ILMN_1656287	0.0036772930904378	7.76722978169212e-06	2.39784493143432	8.31162615057133	11.9592508196965	4.41686769501317	197313712	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
ILMN_2203748	ILMN_2203748	0.0036772930904378	7.86523036736208e-06	0.959890463427545	6.94925076342016	11.9364303767358	4.40559086797245	63025197	VENTXP7	VENT homeobox pseudogene 7
ILMN_2224918	ILMN_2224918	0.0036772930904378	7.88008178402523e-06	0.664502506577247	6.89343164422007	11.9330003684753	4.40389347016739	384875917	CCDC129	coiled-coil domain containing 129
ILMN_1653828	ILMN_1653828	0.00377191676211588	8.20349068713233e-06	1.22024449632202	9.97304083737808	11.8600836536775	4.36765761627445	239048906	CHFR	checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase
ILMN_1652237	ILMN_1652237	0.00386492033315185	8.52937705454735e-06	1.97527334678891	8.05369499695358	11.789850206133	4.33247918798441	62240998	CBR3	carbonyl reductase 3
ILMN_2328874	ILMN_2328874	0.00448058994544769	1.02190985874823e-05	1.18152152904798	7.02418655461043	11.4689530803788	4.16822594583846	636576919	GH1	growth hormone 1
ILMN_1716728	ILMN_1716728	0.00448058994544769	1.03179964201444e-05	0.600325395080041	7.73646137256885	11.4520795972716	4.15942604204716	755571529	SAYSD1	SAYSVFN motif domain containing 1
ILMN_1732296	ILMN_1732296	0.00471343628544452	1.10126845133914e-05	-0.933868769357979	10.0697158180712	-11.338518595229	4.09976826229383	345199309	ID3	inhibitor of DNA binding 3, HLH protein
