ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1707571	ILMN_1707571	0.108231211254303	0.000204235958037608	0.537610299158619	7.61208385215205	7.16228457701969	1.18085111140347	259013558	GABRA5	gamma-aminobutyric acid type A receptor alpha5 subunit
ILMN_1790472	ILMN_1790472	0.108953424617485	0.000209374588177034	0.415460128916521	9.08752698445578	7.13328009373609	1.15976482401761	149274642	SLC25A28	solute carrier family 25 member 28
ILMN_1684306	ILMN_1684306	0.108953424617485	0.000214248978465249	-1.0367525403444	8.68485644916675	-7.10650061544816	1.14020454823493	115430249	S100A4	S100 calcium binding protein A4
ILMN_1671568	ILMN_1671568	0.108953424617485	0.000216052975317728	0.68854714386824	9.00752668465125	7.09676358666602	1.13307054379076	312176382	ECHDC2	enoyl-CoA hydratase domain containing 2
ILMN_1721128	ILMN_1721128	0.108953919949417	0.000219538698804238	0.604261300584707	10.448715172643	7.0782069134227	1.11944225634097	40807467	TOMM34	translocase of outer mitochondrial membrane 34
ILMN_1797372	ILMN_1797372	0.110606950974318	0.000231155028596123	0.698004701370619	7.69369762233724	7.01868608852815	1.07544087330704	197333860	C3orf58	chromosome 3 open reading frame 58
ILMN_1762095	ILMN_1762095	0.110606950974318	0.000232079853510773	0.543882903662368	7.50691511109658	7.01409317176528	1.0720271455473	557129046	TMTC4	transmembrane and tetratricopeptide repeat containing 4
ILMN_1775235	ILMN_1775235	0.110606950974318	0.00023348233750096	0.720406301269118	6.98409036401045	7.00716735290255	1.06687446984764	68348715	AFF3	AF4/FMR2 family member 3
ILMN_1783610	ILMN_1783610	0.111525137529156	0.000241610772999669	-0.405435484359193	8.52605188774369	-6.967930348558	1.03756909937873	574274904	HELLS	helicase, lymphoid-specific
ILMN_1713934	ILMN_1713934	0.111525137529156	0.000244598598215388	-1.21681072536088	11.2585553150148	-6.95388076590528	1.02702853076105	210147490	LITAF	lipopolysaccharide induced TNF factor
ILMN_1785891	ILMN_1785891	0.111525137529156	0.000246121489461773	0.387207042695136	6.96188230924789	6.94679402795635	1.02170229351528	115529462	PRKD1	protein kinase D1
ILMN_1789040	ILMN_1789040	0.113403310510236	0.000253893422110807	0.336019658815003	7.03629672093543	6.91138195773871	0.994991807194534	40217822	SLITRK5	SLIT and NTRK like family member 5
ILMN_3239181	ILMN_3239181	0.115916949824018	0.000263228536989231	0.681252387619251	8.28435232503978	6.87043019791251	0.963903338174553	436408727	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein
ILMN_1677432	ILMN_1677432	0.118900486708356	0.000273806532431448	0.91849739043815	8.54134306901698	6.82596135024451	0.929900787148033	219689133	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1
ILMN_1674985	ILMN_1674985	0.120841384163378	0.000284459633723071	0.691515866949128	8.84390985854231	6.78309337541732	0.896879923367774	209977050	TMEM51	transmembrane protein 51
ILMN_1768394	ILMN_1768394	0.124544952968575	0.000298754924603183	0.518563182040616	9.72085618732248	6.72833113498991	0.854347958222643	394025702	ARPC5	actin related protein 2/3 complex subunit 5
ILMN_1716272	ILMN_1716272	0.128090729401921	0.000311357238999105	0.513676805112037	7.78121655542272	6.68245008640974	0.818409721466219	227497735	KBTBD8	kelch repeat and BTB domain containing 8
ILMN_1760727	ILMN_1760727	0.129442877397978	0.000321371251467293	-0.517249913125509	7.90814331397045	-6.64746010783843	0.790814612002131	207113180	ANG	angiogenin
ILMN_1728572	ILMN_1728572	0.129442877397978	0.000334865738648066	0.961747009795151	7.24218704181411	6.60220490731386	0.754881038420645	659667957	DOK5	docking protein 5
ILMN_2199439	ILMN_2199439	0.129442877397978	0.000335027816768789	0.394773453483399	7.58628998969674	6.60167391950594	0.754457790519626	157952216	CA2	carbonic anhydrase 2
ILMN_3246065	ILMN_3246065	0.129442877397978	0.00033621672835878	-0.673629044690171	8.06765354775707	-6.59778772540385	0.751358967399925	117553612	CCDC151	coiled-coil domain containing 151
ILMN_1711608	ILMN_1711608	0.129442877397978	0.000336884632869177	-0.435352506593801	7.99539223106839	-6.59561133233803	0.749622638426806	376319225	SSBP2	single stranded DNA binding protein 2
ILMN_1810852	ILMN_1810852	0.129442877397978	0.000339484294333596	0.466472093436767	10.4800040872819	6.5871862775464	0.742895097798144	145309325	LAMC1	laminin subunit gamma 1
ILMN_1708059	ILMN_1708059	0.129641777736904	0.000344158094566774	0.409935408553597	8.57626895852389	6.57222052760349	0.73092107168772	215598687	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)
ILMN_1745134	ILMN_1745134	0.129641777736904	0.000352933529020275	0.44197625329587	6.89011216499166	6.54472983584576	0.70884686270792	218084957	ANO4	anoctamin 4
ILMN_1805466	ILMN_1805466	0.129641777736904	0.000356361873213004	0.319315543937001	7.05138315483565	6.5341983775356	0.700363216749925	182765453	SOX9	SRY-box 9
